exp_id,arm,style,checkpoint_step,prompt_id,seed,lora_weight,output_path,output_sha256,nearest_training_item,nearest_training_dhash,nearest_holdout_item,nearest_holdout_dhash,max_clip_cosine_to_training,most_similar_training_item_clip,near_copy_flag
EXP-026,EXP-021,ukiyo-e,300,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00300__VP1-style__seed1337__w0p7.png,5ddc68e02e5a9b2ba85c4ad47eb086900e1fc34b2e996a725131969176116ac5,DS-0105,22,DS-0115,26,0.692373,DS-0137,False
EXP-026,EXP-021,ukiyo-e,300,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00300__VP1-style__seed1337__w1.png,66efd8eec54411ce1598655cf252e83f6ec632607e68923327438a1b35aa90bd,DS-0105,20,DS-0103,26,0.72749,DS-0142,False
EXP-026,EXP-021,ukiyo-e,300,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00300__VP2-shared__seed42__w0p7.png,8b366d59cde1d0da1edf2c5b011ffdab2c3996e2d8a2a39f6c91e67e93de3dcf,DS-0140,18,DS-0120,21,0.703016,DS-0117,False
EXP-026,EXP-021,ukiyo-e,300,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00300__VP2-shared__seed42__w1.png,bdbdda2391ced65fd351c4e669ed70dd0433ab685dfea9b86947466498ea5a43,DS-0114,18,DS-0120,23,0.730012,DS-0099,False
EXP-026,EXP-021,ukiyo-e,300,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00300__VP2-shared__seed1337__w0p7.png,1327829cdf639ff69401d2b36bc4dceee307d1bdcbd259530c7d5358fcc1245b,DS-0110,26,DS-0103,27,0.737299,DS-0134,False
EXP-026,EXP-021,ukiyo-e,300,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00300__VP2-shared__seed1337__w1.png,293fe47abf8668646bbf88c2b5a9674a3ab1d4204fa140ba434574451ec98371,DS-0097,25,DS-0103,31,0.74218,DS-0117,False
EXP-026,EXP-022,retro-poster,150,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP1-style__seed42__w0p7.png,24428234b24adce747f817375c45f23bf3caed11980033df9c049e09b72667f6,DS-0073,28,DS-0120,18,0.244108,DS-0087,False
EXP-026,EXP-022,retro-poster,150,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP1-style__seed42__w1.png,e33c0919629779b9f16cba886dd86ab084f76252697e56730b5fd621d4e1739e,DS-0073,30,DS-0120,18,0.304954,DS-0076,False
EXP-026,EXP-022,retro-poster,150,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP1-style__seed1337__w0p7.png,3e9e2ca60d4ab869113cc7a4d5326bbbae456b5accf5ad58721664f6e974c8c5,DS-0056,25,DS-0103,28,0.370561,DS-0070,False
EXP-026,EXP-022,retro-poster,150,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP1-style__seed1337__w1.png,736968e1e5b6c2b494dcd359c4b05b539a79dad56c3ccf51dd374a83d3465803,DS-0056,24,DS-0115,25,0.391814,DS-0064,False
EXP-026,EXP-022,retro-poster,150,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP2-shared__seed42__w0p7.png,db2abb1266f10d712550e39f4c99eaecb354d7c9f74b76ab769c0f16e2ae412f,DS-0065,27,DS-0120,28,0.391668,DS-0062,False
EXP-026,EXP-022,retro-poster,150,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP2-shared__seed42__w1.png,349b5f03921bc26196c61ddae7c278d849192ee4684e21565cf7a10354bbe84a,DS-0065,30,DS-0115,22,0.368514,DS-0068,False
EXP-026,EXP-022,retro-poster,150,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP2-shared__seed1337__w0p7.png,36f14fc0818777bec5ae19385e797098671e600e7877301b08919a4450103f30,DS-0080,23,DS-0077,27,0.324534,DS-0068,False
EXP-026,EXP-022,retro-poster,150,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00150__VP2-shared__seed1337__w1.png,dd87efd5b720f5e3fdf2e48ee81c17045114ab48850c45901fd701f23823592c,DS-0080,28,DS-0077,26,0.310367,DS-0068,False
EXP-026,EXP-022,retro-poster,300,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP1-style__seed42__w0p7.png,d8913caa0c8c1f29f8cf63fa5b9a74dfdb19434a123dea930fca4f2d14d5b267,DS-0073,26,DS-0120,20,0.300784,DS-0064,False
EXP-026,EXP-022,retro-poster,300,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP1-style__seed42__w1.png,f43d746f12d50a0937a05d6269c1668fc28e74c02be9f079fd6397ba184d728c,DS-0080,25,DS-0077,27,0.419447,DS-0070,False
EXP-026,EXP-022,retro-poster,300,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP1-style__seed1337__w0p7.png,bd731c5450339cadec9f45f4044d37dfe33e759b4aa990f1abfb33234f53995a,DS-0064,24,DS-0115,25,0.328603,DS-0070,False
EXP-026,EXP-022,retro-poster,300,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP1-style__seed1337__w1.png,8e1a6cdbf1de8f410f622cc58aa73dc16eb48fdf26a4858390e2c3adcc8a32a0,DS-0080,25,DS-0115,27,0.372308,DS-0062,False
